Date	Last Muscle Group Trained	Sleep Duration (Hours)	Sleep Quality	Soreness Level	Energy Level	Stress Level	Workout Status
11/2/2025	Upper	7.5	Good	Minor	High Energy	Low Stress	Workout
11/3/2025	Abs/Arms	8	Excellent	Minor	High Energy	Low Stress	Workout
11/4/2025	Abs/Arms	8.5	Excellent	Minor	High Energy	Tolerable Stress	Rest
11/5/2025	Lower	7.5	Good	Minor	Adequate Energy	Low Stress	Workout
11/6/2025	Upper	8.5	Excellent	Minor	High Energy	Low Stress	Workout
11/7/2025	Upper	7.5	Good	Manageable	High Energy	Tolerable Stress	Rest
11/8/2025	Abs/Arms	8	Excellent	Minor	High Energy	Tolerable Stress	Workout
11/9/2025	Lower	8.5	Excellent	Minor	Adequate Energy	Low Stress	Workout
11/10/2025	Lower	7.5	Good	Minor	Adequate Energy	Tolerable Stress	Rest
11/11/2025	Upper	8.5	Excellent	Minor	High Energy	Low Stress	Workout
11/12/2025	Abs/Arms	7.5	Good	Minor	High Energy	Low Stress	Workout
11/13/2025	Abs/Arms	8	Excellent	Minor	High Energy	Low Stress	Rest
11/14/2025	Lower	8.5	Excellent	Minor	High Energy	Low Stress	Workout
11/15/2025	Upper	7.5	Good	Manageable	High Energy	Low Stress	Workout
11/16/2025	Upper	8.5	Excellent	Manageable	High Energy	Low Stress	Rest
11/17/2025	Abs/Arms	7.5	Good	Minor	Adequate Energy	Low Stress	Workout
11/18/2025	Lower	8	Excellent	Minor	High Energy	Tolerable Stress	Workout
11/19/2025	Lower	8.5	Excellent	Manageable	Adequate Energy	Low Stress	Rest
11/20/2025	Upper	7.5	Good	Minor	High Energy	Low Stress	Workout
11/21/2025	Abs/Arms	8.5	Excellent	Minor	High Energy	Low Stress	Workout
11/22/2025	Abs/Arms	7.5	Good	Minor	High Energy	Low Stress	Rest
11/23/2025	Lower	8	Excellent	Minor	High Energy	Tolerable Stress	Workout
11/24/2025	Lower	8	Excellent	Minor	High Energy	Low Stress	Rest
11/25/2025	Lower	8.5	Excellent	Minor	High Energy	Low Stress	Rest
11/26/2025	Lower	8	Excellent	Manageable	Adequate Energy	Low Stress	Rest
11/27/2025	Lower	8.5	Excellent	Minor	High Energy	Low Stress	Rest
11/28/2025	Lower	9	Excellent	Manageable	Adequate Energy	Low Stress	Rest
11/29/2025	Upper	8	Excellent	Minor	High Energy	Low Stress	Workout
11/30/2025	Upper	8.5	Excellent	Minor	High Energy	Low Stress	Rest
12/1/2025	Abs/Arms	8.5	Excellent	Minor	Adequate Energy	Low Stress	Workout
12/2/2025	Lower	7	Good	Manageable	High Energy	High Stress	Workout
12/3/2025	Lower	7.5	Good	Manageable	High Energy	Tolerable Stress	Rest
12/4/2025	Upper	8	Excellent	Manageable	Adequate Energy	Low Stress	Workout
12/5/2025	Abs/Arms	7	Good	Manageable	High Energy	Low Stress	Workout
12/6/2025	Abs/Arms	8	Excellent	Moderate	Adequate Energy	Tolerable Stress	Rest
12/7/2025	Lower	7	Good	Manageable	Adequate Energy	High Stress	Workout
12/8/2025	Upper	7.5	Good	Minor	Adequate Energy	Low Stress	Workout
12/9/2025	Upper	8	Excellent	Minor	Adequate Energy	Tolerable Stress	Rest
12/10/2025	Abs/Arms	7	Good	Minor	High Energy	Low Stress	Workout
12/11/2025	Lower	8	Excellent	Moderate	High Energy	Tolerable Stress	Workout
12/12/2025	Lower	7	Good	Manageable	High Energy	Tolerable Stress	Rest
12/13/2025	Upper	7.5	Good	Manageable	Low Energy	Tolerable Stress	Workout
